,artists,album_name,track_name,popularity,explicit,danceability,energy,speechiness,instrumentalness,tempo,track_genre,duration(mm:ss),year,title,category,nominee
0,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,False,Poco bailable,0.147,0.0355,2.89e-06,141.284,acoustic,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
1,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,False,Poco bailable,0.147,0.0355,2.89e-06,141.284,acoustic,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
2,A Great Big World;Christina Aguilera,Say Something,Say Something,58,False,Poco bailable,0.146,0.0343,3.49e-06,137.905,acoustic,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
3,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,57,False,Poco bailable,0.158,0.036,1.58e-06,140.942,acoustic,03:53,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
4,A Great Big World,流星花園音樂專輯,Say Something,40,False,Poco bailable,0.101,0.038,1.74e-06,139.896,acoustic,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
5,A Great Big World,Is There Anybody Out There?,Say Something,57,False,Poco bailable,0.158,0.036,1.58e-06,140.942,acoustic,03:53,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
6,Ten City,"THAT WAS THEN, THIS IS NOW",Say Something,7,False,Bailable,0.732,0.0673,0.000208,118.349,chicago-house,04:15,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
7,A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,74,False,Poco bailable,0.147,0.0355,2.89e-06,141.284,piano,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
8,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,False,Poco bailable,0.147,0.0355,2.89e-06,141.284,piano,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
9,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,57,False,Poco bailable,0.158,0.036,1.58e-06,140.942,piano,03:53,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
10,A Great Big World;Christina Aguilera,Say Something,Say Something,58,False,Poco bailable,0.146,0.0343,3.49e-06,137.905,piano,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
11,A Great Big World,流星花園音樂專輯,Say Something,40,False,Poco bailable,0.101,0.038,1.74e-06,139.896,piano,03:49,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
12,A Great Big World,Is There Anybody Out There?,Say Something,57,False,Poco bailable,0.158,0.036,1.58e-06,140.942,piano,03:53,2014,57th Annual GRAMMY Awards  (2014),Best Pop Duo/Group Performance,True
13,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,74,False,Poco bailable,0.414,0.0369,0.0,130.088,acoustic,03:09,2009,52nd Annual GRAMMY Awards  (2009),Best Pop Collaboration With Vocals,True
14,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,False,Poco bailable,0.414,0.0369,0.0,130.088,acoustic,03:09,2009,52nd Annual GRAMMY Awards  (2009),Best Pop Collaboration With Vocals,True
15,Glee Cast,"Glee: The Music, Volume 4",Lucky,49,False,Poco bailable,0.468,0.0412,0.0,130.052,club,03:07,2009,52nd Annual GRAMMY Awards  (2009),Best Pop Collaboration With Vocals,True
16,Jubël;Noa Kirel,Happy Pop Vibes,Lucky,0,False,Bailable,0.738,0.0354,6.25e-05,120.079,swedish,02:22,2009,52nd Annual GRAMMY Awards  (2009),Best Pop Collaboration With Vocals,True
